Symbol,Exchange,Quandl Code,Name,Session Type,Active,Terminal Point Value,Full Point Value,Currency,Contract Size,Units,Minimum Tick Value,Tick Value,Delievery Months,Start Date,Trading Times,Additional Notes
OI,CME,CME/OI,NGPL Texok Natural Gas Index Swap (Platts),Active,0,0.25,2500,USD,2500 mmBTU,USD/mmBTU,2.5,0.625,HMUZ,3/18/2008,18:00 - 17:15,
OJ,ICE,ICE/OJ,Orange Juice-NYCE,Active,1,1.5,150,USD,15000 lbs,cents/lb,5,7.5,FHKNUX,10/26/1966,10:15 - 14:15,
OJ,ICE,ICE/OJ,Orange Juice-Frozen-NYCE,Active,1,1.5,150,USD,15000 lbs,cents/pound,5,7.5,FHKNUX,3/29/2007,07:00 - 15:15,
OJ,ICE,ICE/OJ,Orange Juice-Frozen-NYCE,Active,1,1.5,150,USD,15000 lbs,cents/pound,5,7.5,FHKNUX,10/26/1966,07:00 - 15:15,Data before 20070329 does not include the electronic sessions.
P,ICE,ICE/P,Electricity Peak-(IPE)-ICE,Active,1,0.01,1,GBP,MWh x 24 x days,GBP/MWh,1,0.01,HMUZ,12/6/2005,08:00 - 17:00,
P,ICE,ICE/P,Pulp-NYCE,Active,0,0.2,20,USD,20 Metric Tons,USD/tonne,25,5,HMUZ,3/4/2005,08:00 - 09:30,
P8,CME,CME/P8,ISO New England North East Massachusetts Zone Off-Peak Day-Ahead LMP,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
PA,CME,CME/PA,Palladium-NYMEX,Active,1,1,100,USD,100 oz troy,$/troy oz,5,5,HJKMUZ,1/3/1977,18:00 - 17:15,
PB,CME,CME/PB,Pork Bellies-CME,Active,0,4,400,USD,40000 lbs,cents/lb,2.5,10,FGHJKMNQUVXZ,9/18/1961,10:10 - 14:00,Beginning with the Feb 1979 CME Pork Bellies contract the size changed from 36K to 38K lbs. Beginning with the Feb 1987 contract the size changed to 40K lbs. There was no trading between Aug 23 1963 and Sep 20 1963 and no completed trades for the May 1964 contract.
PB,CME,CME/PB,Natural Gas-PG&E Malin Basis-CLEAR,Active,0,0.25,2500,USD,2500 mmBtu,USD/mmBtu,1,0.25,FGHJKMNQUVXZ,8/28/2003,,
PB,SHFE,SHFE/PB,Lead,Active,1,25,25,CNY,25 tonne,CNY/tonne,5,125,FGHJKMNQUVXZ,3/24/2011,09:00 - 15:00,
PC,CME,CME/PC,Natural Gas-PG&E Citygate Basis-CLEAR,Active,1,0.25,2500,USD,2500 mmBtu,USD/mmBtu,1,0.25,JKMNQUVXZ,8/28/2003,,
PC,ICE,ICE/PC,Canadian Dollars/British Pound-FINEX,Active,1,1.25,125000,CAD,125000 GBP,CAD/GBP,5,6.25,JKMNQUVXZ,7/28/2006,19:00 - 15:00,
PD,CME,CME/PD,NGPL TEX/OK-CLEAR,Active,1,0.0001,1,USD,2500 mmBtu,$/mmBtu,1,0.0001,FGHJKMNQUVXZ,7/16/2004,15:30 - 14:15,
PF,CME,CME/PF,Natural Gas-Ventura Basis-CLEAR,Active,1,0.25,2500,USD,2500 mmBtu,$/mmBtu,1,0.25,FGHJKMNQUVXZ,5/24/2006,,
PG,CME,CME/PG,Dominion Basis-CLEAR,Active,1,0.0001,1,USD,2500 mmBtu,$/mmBtu,1,0.0001,FGHJKMNQUVXZ,7/16/2004,15:30 - 14:15,
PH,CME,CME/PH,Natural Gas-Panhandle Basis-CLEAR,Active,1,0.0001,1,USD,2500 mmBtu,$/mmBtu,1,0.0001,FGHJKMNQUVXZ,4/20/2004,15:15 - 14:30,
PL,CME,CME/PL,Platinum-NYMEX,Active,1,5,50,USD,50 oz troy,USD/troy oz,1,5,FHJKNV,1/14/1964,14:00 - 13:15,
PZ,ICE,ICE/PZ,South African Rand/British Pound-FINEX,Active,1,1.25,125000,ZAR,125000 GBP,ZAR/GBP,25,31.25,HMUZ,7/28/2006,19:00 - 15:00,
QG,CME,CME/QG,Natural Gas-Henry Hub e-miNY-NYMEX,Active,1,2.5,2500,USD,2500 mmBtu,$/mmBtu,5,12.5,FGHJKMNQUVXZ,6/17/2002,15:15 - 14:30,Before the February 2006 contract the contract size was 5000 mmBtu.
QM,CME,CME/QM,Crude Oil Light-e-miNY-NYMEX,Active,1,0.5,500,USD,500 barrels,$/barrels,25,12.5,FGHJKMNQUVXZ,6/17/2002,15:15 - 14:30,
QP,CME,CME/QP,Coal Swap West PRB-CLEAR,Active,1,10,1000,USD,1000 tons,USD/ton,1,10,FGHJKMNQUVXZ,4/23/2007,16:00 - 17:15,
QX,CME,CME/QX,Coal Swap East CSX-CLEAR,Active,1,10,1000,USD,1000 tons,USD/ton,1,10,FGHJKMNQUVXZ,4/23/2007,16:00 - 17:15,
R,ICE,ICE/R,Russell 1000 Index-NYFE,Active,0,5,500,USD,USD500 x Index,points,5,25,HMUZ,3/5/1999,03:00 - 16:15,
R3,CME,CME/R3,PJM BGE Zone Off-Peak Calendar-Month Day-Ahead LMP Swap-CLEAR,Active,1,0.05,5,USD,5 MWh,$/MWh,5,0.25,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
R7,CME,CME/R7,PJM AEP Dayton Hub Off-Peak Calendar-Month Day-Ahead LMP Swap-CLEAR,Active,1,0.05,5,USD,5 MWh,$/MWh,5,0.25,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
RA,ICE,ICE/RA,EUR/AUD  --> moved to #1694,Active,0,1,100000,AUD,EUR100000,AUD,5,5,FGHJKMNQUVXZ,5/12/2000,19:00 - 15:00,
RA,CME,CME/RA,SA Rand-CME,Active,1,5,500000,USD,500000 ZAR,USD/ZAR,2.5,12.5,FGHJKMNQUVXZ,10/2/2006,17:00 - 16:00,
RB,CME,CME/RB,Gasoline-Reformulated Blendstock-NYMEX,Active,1,4.2,42000,USD,42000 gallons,USD/gallon,1,4.2,FGHJKMNQUVXZ,10/3/2005,09:00 - 14:30,
RB,CME,CME/RB,Gasoline-Reformulated Blendstock-NYMEX,Active,1,4.2,42000,USD,42000 gallons,USD/gallon,1,4.2,FGHJKMNQUVXZ,10/3/2005,18:00 - 17:15,
RB,SHFE,SHFE/RB,Rebar,Active,1,10,10,CNY,10 tonne,CNY/tonne,1,10,FGHJKMNQUVXZ,3/27/2009,09:00 - 15:00,
RF,CME,CME/RF,Euro/Swiss Franc-CME,Active,1,12.5,125000,CHF,EUR125000,CHF/EUR,1,12.5,HMUZ,1/11/1999,17:00 - 16:00,
RF,ICE,ICE/RF,Mini-Russell 1000 Index -NYFE,Active,1,1,100,USD,$100 x Index,points,5,5,HMUZ,6/22/2001,09:30 - 00:00,$50 x Index to $100 x Index.
RF,ICE,ICE/RF,Mini Russell 1000 Index -NYFE,Active,1,1,100,USD,$100 x Index,points,5,5,HMUZ,6/20/2007,20:00 - 16:15,
RF,ICE,ICE/RF,Mini Russell 1000 Index -NYFE,Active,1,1,100,USD,$100 x Index,points,10,10,HMUZ,6/20/2007,20:00 - 16:15,
RG,CME,CME/RG,Argus Gasoline Crack Spread Swap,Active,0,10,1000,USD,1000 bbl,USD / bbl,1,10,HMUZ,10/9/2008,18:00 - 17:15,
RG,ICE,ICE/RG,Russell 1000 Growth Index-ICE,Active,1,100,10000,USD,$100 x Index,points,10,1000,HMUZ,5/12/2010,20:00 - 18:00,
RK,ICE,ICE/RK,EUR/SEK  --> moved to #1690,Active,0,1,100000,SEK,EUR100000,SEK,25,25,FGHJKMNQUVXZ,11/20/1998,19:00 - 15:00,
RK,CME,CME/RK,Singapore Jet-Gasoil Sw-CLEAR,Active,1,10,1000,USD,1000 barrels,USD/barrels,1,10,FGHJKMNQUVXZ,10/12/2006,18:00 - 17:15,
RL,CME,CME/RL,Russell 2000 Index-CME,Active,0,5,500,USD,$500 x Index,points,5,25,FGHJKMNQUVXZ,2/4/1993,08:30 - 15:15,
RL,CME,CME/RL,RBOB Calendar Swap,Active,1,4.2,42000,USD,42000 gal,$/gal,1,4.2,FGHJKMNQUVXZ,5/10/2007,18:00 - 17:15,
RM,CME,CME/RM,RBOB Crack Spread Swap,Active,1,10,1000,USD,1000 bbl,USD / bbl,1,10,HJKMNQUVXZ,10/22/2008,18:00 - 17:15,
RP,CME,CME/RP,Euro/British Pound-CME,Active,1,1.25,125000,GBP,EUR125000,GBP/EUR,5,6.25,HMUZ,1/11/1999,17:00 - 16:00,
RR,CME,CME/RR,Rice(Rough)-CBT,Active,1,2,2000,USD,2000 CWT,$/CWT,5,10,FHKNUX,8/20/1986,10:15 - 14:30,Traded at MACE until October 1 1994.
RT,CME,CME/RT,Gasoline RBOB Financial (Penultimate)-NYMEX,Active,1,4.2,42000,USD,42000 gallons,USD/gallon,1,4.2,FGHJKMNQUVXZ,6/12/2006,18:00 - 17:15,
RU,CME,CME/RU,GC Unl Gas/Crude Oil Crack Spread-CLEAR,Active,1,10,1000,USD,1000 barrels,$/bbl,1,10,FGHJKMNQUVXZ,12/8/2003,,
RU,SHFE,SHFE/RU,Rubber-SHFE,Active,1,5,5,CNY,10 tonne,CNY/tonne,5,25,FGHJKMNQUVXZ,12/11/2003,09:00 - 15:00,
RU,CME,CME/RU,RX-Russian Ruble-CME,Active,1,25,2500000,USD,2500000 RUB,USD/RUB,1,25,FGHJKMNQUVXZ,10/2/2006,17:00 - 16:00,
RV,CME,CME/RV,RBOB Up-Down Calendar Swap,Active,1,4.2,42000,USD,42000 gal,USD / gal,1,4.2,HMUZ,10/22/2008,18:00 - 17:15,
RV,ICE,ICE/RV,Russell 1000 Value-ICE,Active,1,100,10000,USD,$100 x Index,points,10,1000,HMUZ,5/12/2010,20:00 - 18:00,
RY,CME,CME/RY,Euro/Japanese Yen-CME,Active,1,1250,125000,JPY,EUR125000,JPY/EUR,1,1250,HMUZ,1/11/1999,17:00 - 16:00,
S,CME,CME/S,Soybeans-CBT,Active,1,6.25,50,USD,5000 bu,cents/bu,2,12.5,FHKNQUX,7/7/1947,09:30 - 13:15,Prior to 19980101 Volume and Open Interest are given in 1000's of bushels rather than contracts.
S,CME,CME/S,Soybeans -CBT,Active,1,6.25,50,USD,5000bu,cents/bu,2,12.5,FHKNQUX,3/1/1996,18:00 - 13:15,
SB,ICE,ICE/SB,Sugar #11World-CSCE,Active,1,11.2,1120,USD,112000 lbs,cents/lb,1,11.2,HKNV,12/30/1965,02:30 - 14:00,Cash Sugar from January 1 1968 thru March 31 1970 is spot Sugar #8 (NY); stowed Caribbean until November 3 1977 #11 raw (NY); until August 19 1979 unquoted by exchange; from August 20 1979 to present world raw #11 (NY).  For the time period November 3 1977 thru August 17 1979 there is no data for Commodity #20 due to certain circumstances.
SB,ICE,ICE/SB,Sugar #11-CSCE,Active,1,11.2,1120,USD,112000 pounds,cents/pound,1,11.2,HKNV,3/29/2007,01:30 - 15:15,
SB,ICE,ICE/SB,Sugar #11-CSCE,Active,1,11.2,1120,USD,112000 lbs,cents/pound,1,11.2,HKNV,12/30/1965,01:30 - 15:15,Data before 20070329 does not include the electronic sessions.
SD,CME,CME/SD,Singapore Fuel Oil Spread Swap,Active,1,10,1000,USD,1000 tonnes,USD / tonne,1,10,FGHJKMNQUVXZ,7/31/2009,18:00 - 15:15,
SE,ICE,ICE/SE,Sugar #14(Domestic-Floor to 2008 then 2008)-CSCE,Active,0,11.2,1120,USD,112000 lbs,cents/lb,1,11.2,FGHJKMNQUVXZ,5/2/1977,08:30 - 14:00,This series represents three commodities.  For October 1 1974 thru April 29 1977 U.S. Rubber is represented.  From May 2 1977 through the Dec 86 contract CSCE Sugar #12 is represented. Beginning with the January 1987 contract CSCE Sugar #14 is represented.
SE,CME,CME/SE,Singapore Fuel 380 Swap-CLEAR,Active,1,10,1000,USD,1000 tonnes,USD/tonne,1,10,FGHJKMNQUVXZ,10/12/2006,18:00 - 17:15,
SF,CME,CME/SF,Swiss Franc-CME,Active,1,12.5,125000,USD,CHF 125000,USD/CHF,1,12.5,FHKNUX,5/16/1972,17:00 - 16:00,OHL cash prices became available on July 2 1979.  These prices are the Interbank Spot prices opening at 7am central and closing at 2:30pm central time.
SF,ICE,ICE/SF,Sugar #16,Active,1,11.2,1120,USD,112000 lb,cents/lb,1,11.2,FHKNUX,9/26/2008,09:00 - 14:00,
SG,CME,CME/SG,S&P 500 BARRA Growth Index-CME,Active,1,2.5,250,USD,$250 x Index,points,10,25,HJKMNQUVXZ,11/6/1995,09:30 - 16:15,On 11/01/97 the S&P 500 Index Growth Index and Value Index contract sizes were changed from $500 to $250 times the index for all contracts traded by effecting a 2:1 split on all outstanding contracts. On 11/01/97 the S&P 500 Index Growth Index and Value Index contract sizes were changed from $500 to $250 times the index for all contracts traded by effecting a 2:1 split on all outstanding contracts.
SG,CME,CME/SG,Singapore Gasoil Cal Sw-CLEAR,Active,1,10,1000,USD,1000 barrels,USD/barrels,1,10,HJKMNQUVXZ,10/12/2006,18:00 - 17:15,
SI,CME,CME/SI,Silver-COMEX,Active,1,5,50,USD,5000 oz troy,cents/troy oz,1,5,FHJKNUZ,6/12/1963,18:00 - 17:15,
SM,CME,CME/SM,Soybean Meal-CBT,Active,1,10,100,USD,100 short tons,USD/short ton,1,10,FHKNQUVZ,3/1/1996,18:00 - 13:15,One trailing zero is dropped from newspaper represention of these prices. One trailing zero is dropped from newspaper represention of these prices.
SM,CME,CME/SM,Soybean Meal-CBT,Active,1,10,100,USD,100 short tons,USD/short ton,1,10,FHKNQUVZ,8/29/1951,09:30 - 13:15,One trailing zero is dropped from newspaper represention of these prices.   OHLC current day cash pricing started January 18 1984.
SP,CME,CME/SP,S&P 500 Index-CME,Active,1,2.5,250,USD,$250 x Index,points,5,12.5,HMUZ,4/21/1982,08:30 - 15:15,From January 2 1950 to December 31 1961 the closing cash price only is provided in an OHLC format for S & P 500 Index.  From January 2 1962 to April 20 1982 the open provided is the average of the high and low cash price for the day.  From April 21 1982 through the present the actual open is available.  On November 1 1997 the contract size changed from $500 x Index to $250 x Index.
SP,CME,CME/SP,S&P 500-CME,Active,1,2.5,250,USD,$250 x Index,points,10,25,HMUZ,4/21/1982,17:00 - 16:15,On 11/01/97 the S&P 500 Index Growth Index and Value Index contract sizes were changed from $500 to $250 times the index for all contracts traded by effecting a 2:1 split on all outstanding contracts. On 11/01/97 the S&P 500 Index Growth Index and Value Index contract sizes were changed from $500 to $250 times the index for all contracts traded by effecting a 2:1 split on all outstanding contracts.
SP,CME,CME/SP,S&P 500 Index Divided by 10-CME,Active,1,25,250,USD,$250 x Index,points,5,125,HMUZ,4/21/1982,08:30 - 15:15,
SP,CME,CME/SP,S&P 500 Index-CME,Active,1,2.5,250,USD,$250 x Index,points,5,12.5,HMUZ,9/21/1993,17:00 - 16:15,
SP,CME,CME/SP,Singapore Naphtha Swap-CLEAR,Active,1,10,1000,USD,1000 barrels,USD/barrels,1,10,HMUZ,10/12/2006,18:00 - 17:15,
SS,ICE,ICE/SS,British Pound/Swiss Franc-FINEX,Active,1,1.25,125000,CHF,GBP 125000,CHF/GBP,5,6.25,HMUZ,4/18/1997,19:00 - 15:00,
ST,CME,CME/ST,Cattle-Stocker-CME,Active,0,2.5,250,USD,25000 lbs,cents/lb,5,12.5,HMUZ,11/30/1998,09:10 - 13:05,
SY,ICE,ICE/SY,British Pound/Japanese Yen-FINEX,Active,1,125,125000,JPY,GBP125000,JPY/GBP,5,625,HMUZ,4/18/1997,19:00 - 15:00,
SZ,CME,CME/SZ,Natural Gas-SONAT Basis-CLEAR,Active,1,0.25,2500,USD,2500 mmBtu,$/mmBtu,1,0.25,FGHJKMNQUVXZ,5/24/2006,,
T,ICE,ICE/T,Crude Oil-WTI-ICE,Active,1,10,1000,USD,1000 bbl,USD/bbl,1,10,FGHJKMNQUVXZ,2/3/2006,01:00 - 22:00,
TC,CME,CME/TC,Natural Gas-TCO Basis-CLEAR,Active,1,0.25,2500,USD,2500 mmBtu,USD/mmBtu,1,0.25,FGHJKMNQUVXZ,8/28/2003,,
TF,ICE,ICE/TF,Mini-Russell 2000-NYFE,Active,1,1,100,USD,$100 x Index,Points,5,5,HMUZ,8/17/2007,20:00 - 16:15,
TF,ICE,ICE/TF,Mini Russell 2000-NYFE,Active,1,1,100,USD,$100 x Index,Points,10,10,HMUZ,8/17/2007,20:00 - 16:15,
TF,CME,CME/TF,5 Year Treasury Bond,Active,1,10,10000,CNY,1000000 CNY @ 3%,percent,2,20,HMUZ,9/6/2013,09:15 - 15:15,
TFM,ICE,ICE/TFM,Dutch TTF Gas M -ICE,Active,1,,,EUR,1MWh/hour/day/delivery period,EUR/MWh,25,,FGHJKMNQUVXZ,3/16/2010,02:00 - 12:00,
TIO,CME,CME/TIO,Iron Ore 62% Fe CFR China (TSI),Active,1,5,500,USD,500 dry metric tons,USD/Metric Ton,1,5,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
TR,CME,CME/TR,Natural Gas-Transco Zone 4 Basis-CLEAR,Active,1,0.25,2500,USD,2500 mmBtu,$/mmBtu,1,0.25,FGHJKMNQUVXZ,5/24/2006,,
TRY,CME,CME/TRY,Turkish Lira,Active,1,20,200000,TRY,USD 200000,TRY / USD,1,20,HMUZ,3/23/2009,17:00 - 16:00,
TU,CME,CME/TU,T-Note-US 2 Yr -CBT,Active,1,6.25,2000,USD,"$200,000 ",points,2.5,15.625,HMUZ,6/22/1990,17:30 - 16:00,CBT 2-year notes (#382) trade in 1/4 of 32nds. Software that relies on 5-character price fields cannot represent these prices correctly. As such CSI provides this data rounded to 64ths as #207. The CBT and MACE bond/note contracts were originally based on 8% coupons. Beginning with the 03/2000 contract the prices are based on a 6% coupon. CBT 2-year notes (#382) trade in 1/4 of 32nds. Software that relies on 5-character price fields cannot represent these prices correctly. As such CSI provides this data rounded to 64ths as #207. The CBT and MACE bond/note contracts were originally based on 8% coupons. Beginning with the 03/2000 contract the prices are based on a 6% coupon.
TU,CME,CME/TU,T-Note-U.S.  2 Yr-CBT,Active,1,6.25,2000,USD,"$200,000 ",points,2.5,15.625,HMUZ,6/26/2001,08:20 - 15:00,
TU,CME,CME/TU,Gasoil 0.1 CIF NWE vs. ICE Gasoil Swap,Active,1,1,1000,USD,1000 tonnes,USD / tonne,1,1,HMUZ,7/31/2009,18:00 - 15:15,
TY,CME,CME/TY,T-Note-U.S. 10 Yr-CBT,Active,1,15.625,1000,USD,"$100,000 ",points,1,15.625,HMUZ,5/1/1987,07:20 - 14:00,Starting on May 1 1987 the CBT began trading an evening session for T-Bonds and T-Notes. The evening session is included in the data for commodity #44 and #150. Customers wishing to receive only the day session must use commodity #144 for T-Bonds and commodity #250 for T-Notes. Commodities #144 and #250 represent the morning open high and low for the day session settlement and volume for the day session only.
UA,CME,CME/UA,Singapore Fuel 180 Swap-CLEAR,Active,1,10,1000,USD,1000 tonnes,USD/tonne,1,10,FGHJKMNQUVXZ,10/12/2006,18:00 - 17:15,
UB,CME,CME/UB,Dated Brent Crude Oil Swap,Active,1,10,1000,USD,1000 bbl,USD / bbl,1,10,FGHJKMNQUVXZ,7/31/2009,18:00 - 15:15,
UL,CME,CME/UL,Ultra T-Bonds,Active,1,31.25,1000,USD,USD 100000,points,1,31.25,HMU,1/11/2010,17:30 - 16:00,
ULS,ICE,ICE/ULS,Low Sulphur Gasoil-ICE,Active,1,1,100,USD,100 Tonnes,USD/Tonne,25,25,FGHJKMNQUVXZ,9/19/2011,01:00 - 23:00,
UM,CME,CME/UM,Electricity-Northern Illinois Hub Peak-CLEAR,Active,1,0.01,1,USD,40 MWH per peak day (760-920 MWH),USD/MWH,5,0.05,FGHJKMNQUVXZ,5/15/2007,15:15 - 14:30,
UN,CME,CME/UN,Euro Naphtha Swap-CLEAR,Active,1,10,1000,USD,1000 tonnes,USD/tonne,1,10,FGHJKMNQUVXZ,10/12/2006,18:00 - 17:15,
UO,CME,CME/UO,Electricity-Northern Illinois Hub Off-Peak-CLEAR,Active,1,0.01,1,USD,2.5 MWH per Off-Peak Day (880-1060 MWH),USD/MWH,5,0.05,FGHJKMNQUVXZ,5/15/2007,15:15 - 14:30,
US,CME,CME/US,T-Bond-US-CBT,Active,1,3.125,1000,USD,"$100,000 ",points,5,15.625,HMU,8/22/1977,17:30 - 16:00,Before February 13 1992 the 30-year bond cash price is close-only.   Starting on May 1 1987 the CBT began trading an evening session for T-Bonds and T-Notes. The evening session is included in the data for commodity #44 and #150. Customers wishing to receive only the day session must use commodity #144 for T-Bonds and commodity #250 for T-Notes. Commodities #144 and #250 represent the morning open high and low for the day session settlement and volume for the day session only.
US,CME,CME/US,T-Bond-U.S.-CBT,Active,1,3.125,1000,USD,"$100,000 ",points,5,15.625,HMU,5/1/1987,07:20 - 14:00,Starting on May 1 1987 the CBT began trading an evening session for T-Bonds and T-Notes. The evening session is included in the data for commodity #44 and #150. Customers wishing to receive only the day session must use commodity #144 for T-Bonds and commodity #250 for T-Notes. Commodities #144 and #250 represent the morning open high and low for the day session settlement and volume for the day session only.
UV,CME,CME/UV,Euro 3.5 Fuel Oil Sw-CLEAR,Active,1,10,1000,USD,1000 tonnes,USD/tonne,1,10,FGHJKMNQUVXZ,10/12/2006,18:00 - 17:15,
UX,CME,CME/UX,Uranium-NYMEX,Active,1,2.5,250,USD,250 lbs of U308,USD/LB,5,12.5,FGHJKMNQUVXZ,5/7/2007,18:00 - 17:15,
V3,CME,CME/V3,PJM AEP Dayton Hub Real-Time Off-Peak,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
VC,ICE,ICE/VC,US Dollar/Czech Koruna-FINEX,Active,1,10,100000,CZK,USD 100000,CZK/USD,5,50,FHKNU,9/19/2003,20:00 - 18:00,
W,CME,CME/W,Wheat-CBT,Active,1,6.25,50,USD,5000 bu,cents/bu,2,12.5,HKNUZ,1/3/1922,09:30 - 13:15,The cash price is quoted basis Chicago Illinois until April 29 1982 when it changed basis to St. Louis Missouri. Prior to 19980101 Volume and Open Interest are given in 1000's of bushels rather than contracts.
W,CME,CME/W,Wheat-CBT,Active,1,6.25,50,USD,5000 bu,cents/bu,2,12.5,HKNUZ,3/1/1996,18:00 - 13:15,
W6,CME,CME/W6,PJM PSEG Zone Off-Peak Calendar-Month Day-Ahead LMP Swap-CLEAR,Active,1,0.05,5,USD,5 MWh,$/MWh,5,0.25,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
WCC,CME,CME/WCC,Canadian Heavy Crude Oil Index (Net Energy),Active,1,1,1000,USD,1000 barrels,$/bbl,1,1,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
WJ,CME,CME/WJ,LLS (Argus) vs. WTI Spread Calendar Swap Futures-CLEAR,Active,1,10,1000,USD,1000 barrels,USD/bbl,1,10,FGHJKMNQUVXZ,7/2/2008,18:00 - 17:15,
WK,ASX,ASX/WK,West Australian Wheat Milling-ASX,Active,1,2,20,AUD,20 tonnes,AUD/Tonne,1,2,FHKNU,9/14/2009,11:00 - 18:30,
WQ,CME,CME/WQ,Gasoil 0.1 Barges FOB Rdam v ICE Gasoil Swap,Active,1,10,10000,USD,1000 tonnes,USD / tonne,1,10,HJKMNQUVXZ,10/9/2008,18:00 - 17:15,
WR,SHFE,SHFE/WR,Steel Wire Rod,Active,1,10,10,CNY,10 tonne,CNY/tonne,1,10,FGHJKMNQUVXZ,4/28/2011,09:00 - 15:00,
WS,CME,CME/WS,Crude Oil Financial (Penultimate)-NYMEX,Active,1,10,1000,USD,1000 barrels,USD/barrel,1,10,FGHJKMNQUVXZ,6/12/2006,18:00 - 17:15,
X1,CME,CME/X1,PJM AECO Zone Off-Peak Day-Ahead LMP,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
XAF,CME,CME/XAF,Emini S&P SS Financl,Active,1,2.5,250,USD,USD 250 x Index,points,1,2.5,HM,4/28/2011,17:00 - 15:15,
XAK,CME,CME/XAK,Emini S&P SS Technol,Active,1,10,100,USD,USD 100 x Index,points,1,10,HM,4/28/2011,17:00 - 15:15,
XAP,CME,CME/XAP,Emini S&P SS C Stapl,Active,1,10,100,USD,USD 100 x Index,points,1,10,HM,4/28/2011,17:00 - 15:15,
XAU,CME,CME/XAU,Emini S&P SS Utility,Active,1,10,100,USD,USD 100 x Index,points,1,10,HM,4/28/2011,17:00 - 15:15,
XAY,CME,CME/XAY,Emini S&P SS C Discr,Active,1,10,100,USD,USD 100 x Index,points,1,10,HM,4/28/2011,17:00 - 15:15,
XFC,LIFFE,LIFFE/XFC,CAC 40 Dividend Index-LIFFE,Active,1,0.1,10,EUR,EUR 10 x Index,points,10,1,Z,10/16/2012,08:00 - 18:15,
XZ,LIFFE,LIFFE/XZ,FTSE 100 Dividend Index-LIFFE,Active,1,1,10,GBP,GBP 10 x Index,points,1,1,Z,9/30/2010,08:00 - 16:30,
Y,ICE,ICE/Y,Electricity Base-(IPE)-ICE,Active,1,0.01,1,GBP,MWh x 24 x days,GBP/MWh,1,0.01,HMUZ,9/14/2004,08:00 - 17:00,
YC,CME,CME/YC,Mini Corn-CBT(MACE),Active,1,1.25,10,USD,1000 bu,cents/bu,1,1.25,HKNUZ,6/25/1981,09:30 - 13:30,
YC,CME,CME/YC,Corn-Mini -CBT,Active,1,1.25,10,USD,1000 bushels,cents/bushel,1,1.25,HKNUZ,5/15/2007,18:00 - 13:45,
YK,CME,CME/YK,Mini Soybeans-CBT(MACE),Active,1,1.25,10,USD,1000 bu,cents/bu,1,1.25,FHKNQUX,6/25/1981,09:30 - 13:30,
YK,CME,CME/YK,Soybeans-Mini-CBT,Active,1,1.25,10,USD,1000 bushels,cents/bushel,1,1.25,FHKNQUX,5/15/2007,18:00 - 13:45,
YM,CME,CME/YM,DJIA Mini $5 Index-CBT,Active,1,5,5,USD,$5 x Index,points,1,5,HMUZ,4/5/2002,17:00 - 16:30,
YM,CME,CME/YM,E-mini DJIA ($5),Active,1,5,5,USD,$5 x Index,Points,1,5,HMUZ,2/25/2013,17:00 - 16:15,
YS,ICE,ICE/YS,British Pound/Japanese Yen Sm-FINEX,Active,0,625,62500,JPY,GBP 62500,JPY/GBP,1,625,HMUZ,12/8/2006,19:00 - 15:00,
YT,SFE,SFE/YT,Australian Bond 3 Year,Active,1,2.8,2800,AUD,A$100000 @ 6 Percent,Percent,5,14,HMUZ,6/16/2011,17:10 - 16:30,
YW,CME,CME/YW,Mini Wheat-CBT(MACE),Active,1,1.25,10,USD,1000 bu,cents/bu,1,1.25,HKNUZ,6/25/1981,09:30 - 13:30,
YW,CME,CME/YW,Wheat-Mini  -CBT,Active,1,1.25,10,USD,1000 bushels,cents/bushel,1,1.25,HKNUZ,6/25/1981,18:00 - 13:45,
YZ,ICE,ICE/YZ,South African Rand/Euro-FINEX,Active,1,1,100000,ZAR,100000 EUR,ZAR/EUR,5,5,Z,7/28/2006,19:00 - 15:00,
ZJ,ICE,ICE/ZJ,Japanese Yen/New Zealand Dollar-FINEX,Active,1,200,200000,JPY,200000 NZD,JPY/NZD,5,1000,HMUZ,7/28/2006,19:00 - 15:00,
ZN,CME,CME/ZN,T-Note-US 10 Yr-GLOBEX,Active,1,15.625,1000,USD,"$100,000 ",points,1,15.625,FGHJKMNQUVXZ,10/27/1998,17:30 - 16:00,
ZN,SHFE,SHFE/ZN,Zinc,Active,1,5,5,CNY,5 tonnes,CNY/tonne,5,25,FGHJKMNQUVXZ,4/12/2007,09:00 - 15:00,
ZR,ICE,ICE/ZR,South African Rand-FINEX,Active,1,1,100000,ZAR,"$100,000 ",ZAR/USD,5,5,HMUZ,4/3/1997,19:00 - 15:00,
